group	k	best_d_recorded	distance_trials	code_id	n
C6	6	16	100000	C6_AAp11_0_0_2_2_3_5_BBp11_0_0_2_3_3_4_k6_d16	216
C6	8	16	100000	C6_AAp10_0_1_3_3_4_5_BBp11_0_0_1_3_3_5_k8_d16	216
C6	10	16	100000	C6_AAp27_0_0_1_1_2_3_BBp11_0_0_2_3_3_4_k10_d16	216
C7	2	21	600000	C7_AAp11_0_0_1_3_4_6_BBp8_0_2_3_5_5_6_k2_d21	252
C7	4	20	600000	C7_AAp6_0_0_0_1_2_3_BBp8_0_2_3_5_5_6_k4_d20	252
C7	6	20	600000	C7_AAp24_0_0_2_3_6_6_BBp10_0_2_2_3_4_6_k6_d20	252
C7	8	18	600000	C7_AAp6_0_0_0_1_2_3_BBp6_0_2_3_5_5_6_k8_d18	252
C7	10	17	600000	C7_AAp11_0_0_1_1_3_4_BBp6_0_0_0_4_5_6_k10_d17	252
C7	12	16	600000	C7_AAp10_0_1_2_2_4_6_BBp25_0_0_1_3_4_6_k12_d16	252
C7	14	14	600000	C7_AAp6_0_0_1_2_2_5_BBp6_0_0_0_2_3_6_k14_d14	252
C7	16	13	600000	C7_AAp6_0_1_2_3_4_5_BBp28_0_0_1_2_5_6_k16_d13	252
C7	18	12	600000	C7_AAp0_0_1_2_3_4_5_BBp6_0_1_2_3_5_6_k18_d12	252
C7	20	12	600000	C7_AAp6_0_1_2_3_4_5_BBp13_0_1_1_4_5_6_k20_d12	252
SmallGroup_10_1_	2	23	200000	SmallGroup_10_1__AAp11_0_0_1_2_2_3_BBp11_0_1_2_3_7_8_k2_d23	360
SmallGroup_10_1_	4	24	200000	SmallGroup_10_1__AAp10_0_0_1_1_2_3_BBp11_0_1_2_3_7_8_k4_d24	360
SmallGroup_10_2_	2	24	200000	SmallGroup_10_2__AAp27_0_1_2_2_4_9_BBp27_0_1_3_4_6_6_k2_d24	360
SmallGroup_10_2_	4	22	200000	SmallGroup_10_2__AAp27_0_1_2_2_4_9_BBp11_0_0_1_2_2_3_k4_d22	360
SmallGroup_10_2_	6	21	200000	SmallGroup_10_2__AAp29_0_0_3_3_7_8_BBp27_0_1_3_4_6_7_k6_d21	360
SmallGroup_10_2_	8	24	200000	SmallGroup_10_2__AAp27_0_1_2_2_4_9_BBp17_0_1_2_3_8_9_k8_d24	360
SmallGroup_10_2_	16	22	200000	SmallGroup_10_2__AAp27_0_1_2_2_5_9_BBp17_0_1_4_5_6_7_k16_d22	360
SmallGroup_12_1_	2	34	200000	SmallGroup_12_1__AAp11_0_0_1_7_8_10_BBp10_0_0_1_2_10_10_k2_d34	432
SmallGroup_12_1_	4	29	200000	SmallGroup_12_1__AAp11_0_0_1_7_8_10_BBp11_0_1_2_4_7_9_k4_d29	432
SmallGroup_12_2_	2	30	200000	SmallGroup_12_2__AAp11_0_0_2_2_3_4_BBp11_0_0_1_6_10_11_k2_d30	432
SmallGroup_12_2_	4	32	200000	SmallGroup_12_2__AAp14_0_1_5_6_8_11_BBp10_0_0_1_6_10_10_k4_d32	432
SmallGroup_12_2_	6	26	200000	SmallGroup_12_2__AAp15_0_0_4_4_6_8_BBp11_0_0_1_6_10_11_k6_d26	432
SmallGroup_12_2_	8	24	200000	SmallGroup_12_2__AAp10_0_0_1_2_3_4_BBp10_0_1_4_5_7_9_k8_d24	432
SmallGroup_12_2_	12	28	200000	SmallGroup_12_2__AAp11_0_3_4_5_5_11_BBp10_0_1_4_5_7_9_k12_d28	432
SmallGroup_12_3_	4	33	200000	SmallGroup_12_3__AAp10_0_3_4_7_8_11_BBp11_0_0_1_1_11_11_k4_d33	432
SmallGroup_12_3_	8	31	200000	SmallGroup_12_3__AAp10_0_3_4_7_8_11_BBp6_0_0_1_2_3_4_k8_d31	432
SmallGroup_12_4_	2	29	200000	SmallGroup_12_4__AAp15_0_1_5_6_10_11_BBp10_0_0_1_1_2_10_k2_d29	432
SmallGroup_12_4_	4	25	200000	SmallGroup_12_4__AAp10_0_0_1_1_2_10_BBp16_0_1_4_6_7_9_k4_d25	432
