code_id	group	n	k	d_recorded	distance_trials	distance_method	A_id	B_id	run_dir	src_dir	collected_dir
C11_AAp6_0_0_0_1_4_5_BBp0_0_3_5_6_8_9_k12_d18	C11	396	12	18	600000	dist-m4ri	p6_0_0_0_1_4_5	p0_0_3_5_6_8_9	results/progressive_C11_20260126T125635Z	results/progressive_C11_20260126T125635Z/best_codes/C11_AAp6_0_0_0_1_4_5_BBp0_0_3_5_6_8_9_k12_d18	best_codes/collected/C11_AAp6_0_0_0_1_4_5_BBp0_0_3_5_6_8_9_k12_d18
C11_AAp6_0_0_0_1_2_10_BBp0_0_3_4_6_8_10_k12_d17	C11	396	12	17	600000	dist-m4ri	p6_0_0_0_1_2_10	p0_0_3_4_6_8_10	results/progressive_C11_20260126T125635Z	results/progressive_C11_20260126T125635Z/best_codes/C11_AAp6_0_0_0_1_2_10_BBp0_0_3_4_6_8_10_k12_d17	best_codes/collected/C11_AAp6_0_0_0_1_2_10_BBp0_0_3_4_6_8_10_k12_d17
C11_AAp0_0_1_2_7_8_9_BBp6_0_3_5_8_8_10_k12_d16	C11	396	12	16	600000	dist-m4ri	p0_0_1_2_7_8_9	p6_0_3_5_8_8_10	results/progressive_C11_20260126T125635Z	results/progressive_C11_20260126T125635Z/best_codes/C11_AAp0_0_1_2_7_8_9_BBp6_0_3_5_8_8_10_k12_d16	best_codes/collected/C11_AAp0_0_1_2_7_8_9_BBp6_0_3_5_8_8_10_k12_d16
C11_AAp0_0_3_4_5_6_9_BBp6_0_3_4_6_6_9_k12_d15	C11	396	12	15	600000	dist-m4ri	p0_0_3_4_5_6_9	p6_0_3_4_6_6_9	results/progressive_C11_20260126T125635Z	results/progressive_C11_20260126T125635Z/best_codes/C11_AAp0_0_3_4_5_6_9_BBp6_0_3_4_6_6_9_k12_d15	best_codes/collected/C11_AAp0_0_3_4_5_6_9_BBp6_0_3_4_6_6_9_k12_d15
C11_AAp0_0_3_4_5_6_9_BBp6_0_0_3_6_8_8_k12_d14	C11	396	12	14	600000	dist-m4ri	p0_0_3_4_5_6_9	p6_0_0_3_6_8_8	results/progressive_C11_20260126T125635Z	results/progressive_C11_20260126T125635Z/best_codes/C11_AAp0_0_3_4_5_6_9_BBp6_0_0_3_6_8_8_k12_d14	best_codes/collected/C11_AAp0_0_3_4_5_6_9_BBp6_0_0_3_6_8_8_k12_d14
C12_AAp11_0_1_3_6_7_11_BBp27_0_2_4_5_5_8_k2_d37	C12	432	2	37	400000	dist-m4ri	p11_0_1_3_6_7_11	p27_0_2_4_5_5_8	results/progressive_C12_20260122T153931Z	results/progressive_C12_20260122T153931Z/best_codes/C12_AAp11_0_1_3_6_7_11_BBp27_0_2_4_5_5_8_k2_d37	best_codes/collected/C12_AAp11_0_1_3_6_7_11_BBp27_0_2_4_5_5_8_k2_d37
C12_AAp11_0_1_3_6_7_11_BBp12_0_1_3_7_10_11_k2_d33	C12	432	2	33	400000	dist-m4ri	p11_0_1_3_6_7_11	p12_0_1_3_7_10_11	results/progressive_C12_20260122T153931Z	results/progressive_C12_20260122T153931Z/best_codes/C12_AAp11_0_1_3_6_7_11_BBp12_0_1_3_7_10_11_k2_d33	best_codes/collected/C12_AAp11_0_1_3_6_7_11_BBp12_0_1_3_7_10_11_k2_d33
C12_AAp11_0_0_1_1_6_7_BBp27_0_2_4_5_5_8_k2_d31	C12	432	2	31	400000	dist-m4ri	p11_0_0_1_1_6_7	p27_0_2_4_5_5_8	results/progressive_C12_20260122T153931Z	results/progressive_C12_20260122T153931Z/best_codes/C12_AAp11_0_0_1_1_6_7_BBp27_0_2_4_5_5_8_k2_d31	best_codes/collected/C12_AAp11_0_0_1_1_6_7_BBp27_0_2_4_5_5_8_k2_d31
C12_AAp11_0_0_1_1_6_7_BBp12_0_1_3_7_10_11_k2_d30	C12	432	2	30	400000	dist-m4ri	p11_0_0_1_1_6_7	p12_0_1_3_7_10_11	results/progressive_C12_20260122T153931Z	results/progressive_C12_20260122T153931Z/best_codes/C12_AAp11_0_0_1_1_6_7_BBp12_0_1_3_7_10_11_k2_d30	best_codes/collected/C12_AAp11_0_0_1_1_6_7_BBp12_0_1_3_7_10_11_k2_d30
C12_AAp11_0_0_1_1_3_7_BBp12_0_1_3_7_10_11_k2_d29	C12	432	2	29	400000	dist-m4ri	p11_0_0_1_1_3_7	p12_0_1_3_7_10_11	results/progressive_C12_20260122T153931Z	results/progressive_C12_20260122T153931Z/best_codes/C12_AAp11_0_0_1_1_3_7_BBp12_0_1_3_7_10_11_k2_d29	best_codes/collected/C12_AAp11_0_0_1_1_3_7_BBp12_0_1_3_7_10_11_k2_d29
C12_AAp11_0_0_1_3_9_11_BBp24_0_1_3_6_8_9_k2_d23	C12	432	2	23	400000	dist-m4ri	p11_0_0_1_3_9_11	p24_0_1_3_6_8_9	results/progressive_C12_20260122T153931Z	results/progressive_C12_20260122T153931Z/best_codes/C12_AAp11_0_0_1_3_9_11_BBp24_0_1_3_6_8_9_k2_d23	best_codes/collected/C12_AAp11_0_0_1_3_9_11_BBp24_0_1_3_6_8_9_k2_d23
C12_AAp11_0_0_1_1_3_7_BBp24_0_1_3_6_8_9_k2_d21	C12	432	2	21	400000	dist-m4ri	p11_0_0_1_1_3_7	p24_0_1_3_6_8_9	results/progressive_C12_20260122T153931Z	results/progressive_C12_20260122T153931Z/best_codes/C12_AAp11_0_0_1_1_3_7_BBp24_0_1_3_6_8_9_k2_d21	best_codes/collected/C12_AAp11_0_0_1_1_3_7_BBp24_0_1_3_6_8_9_k2_d21
C12_AAp14_0_2_5_5_6_8_BBp10_0_2_3_5_6_11_k4_d36	C12	432	4	36	400000	dist-m4ri	p14_0_2_5_5_6_8	p10_0_2_3_5_6_11	results/progressive_C12_20260122T153931Z	results/progressive_C12_20260122T153931Z/best_codes/C12_AAp14_0_2_5_5_6_8_BBp10_0_2_3_5_6_11_k4_d36	best_codes/collected/C12_AAp14_0_2_5_5_6_8_BBp10_0_2_3_5_6_11_k4_d36
C12_AAp6_0_2_4_7_8_9_BBp12_0_1_3_7_10_11_k4_d35	C12	432	4	35	400000	dist-m4ri	p6_0_2_4_7_8_9	p12_0_1_3_7_10_11	results/progressive_C12_20260122T153931Z	results/progressive_C12_20260122T153931Z/best_codes/C12_AAp6_0_2_4_7_8_9_BBp12_0_1_3_7_10_11_k4_d35	best_codes/collected/C12_AAp6_0_2_4_7_8_9_BBp12_0_1_3_7_10_11_k4_d35
C12_AAp10_0_1_2_4_9_10_BBp11_0_0_1_2_5_7_k4_d34	C12	432	4	34	400000	dist-m4ri	p10_0_1_2_4_9_10	p11_0_0_1_2_5_7	results/progressive_C12_20260122T153931Z	results/progressive_C12_20260122T153931Z/best_codes/C12_AAp10_0_1_2_4_9_10_BBp11_0_0_1_2_5_7_k4_d34	best_codes/collected/C12_AAp10_0_1_2_4_9_10_BBp11_0_0_1_2_5_7_k4_d34
